parent_beak_depth_mm,offspring_beak_depth_mm,bill_depth_mm_1977,1977_reproduced,offspring_bill_depth_mm_1978,El_G_2004
7.4,7.5,10.3,0,8.8,9.8
7.5,7.5,9.3,0,9.3,8.8
7.6,9.3,7.8,0,9.3,8.3
7.6,9.3,9.3,0,10.3,10.8
7.8,8.2,9.8,0,10.8,8.3
7.8,8.3,8.8,0,9.8,7.8
7.9,8,9.3,0,8.8,8.8
7.9,7.9,8.3,0,9.8,8.3
7.9,8,8.3,0,10.3,8.3
7.9,7.9,9.8,0,9.3,10.3
8,7.3,9.3,0,10.8,10.3
8.1,7.4,8.3,0,11.3,8.8
8.1,8.4,8.8,0,8.8,8.3
8.1,7.7,9.8,0,10.8,10.3
8.1,7.5,8.8,0,9.3,10.3
8.1,8.4,8.3,1,8.8,7.3
8.1,7.4,9.8,0,9.8,7.3
8.1,7.7,7.3,0,9.8,8.8
8.2,8.2,9.8,0,8.3,8.3
8.2,7.6,9.3,1,9.3,8.3
8.2,8.1,9.8,0,9.3,9.8
8.3,8.3,9.3,0,9.8,8.3
8.3,8.8,8.8,0,9.8,8.3
8.3,7.8,8.8,1,9.3,8.8
8.4,8,10.3,1,10.8,8.8
8.4,9,8.8,0,9.8,8.8
8.4,7.9,9.8,1,10.3,10.3
8.5,9.4,9.8,0,9.8,8.8
8.5,8,9.8,0,9.8,10.8
8.5,9,8.3,0,7.8,8.8
8.5,9.9,9.3,0,9.8,10.8
8.5,9.4,9.3,1,9.8,9.8
8.5,8.1,9.3,0,10.3,7.8
8.6,8.5,9.3,0,7.8,8.3
8.6,8.4,9.8,0,8.3,8.3
8.6,8.7,9.3,0,8.8,8.8
8.6,8.1,8.8,0,8.3,9.8
8.6,9.3,9.8,1,9.8,9.3
8.6,8.5,9.3,0,9.8,10.3
8.7,8.8,9.8,1,8.8,10.3
8.7,8.2,8.8,0,8.8,10.3
8.7,9.3,10.8,0,9.3,8.3
8.7,8.7,8.3,0,10.8,9.8
8.7,8.9,7.8,0,7.3,9.8
8.8,8.3,7.8,0,9.8,7.8
8.8,9.3,8.8,0,9.8,10.3
8.8,8.6,10.3,0,9.3,8.3
8.8,9.4,8.8,0,8.8,7.8
8.8,8.9,9.3,0,10.3,7.8
8.9,8.7,9.8,0,9.8,8.8
8.9,9.3,10.3,1,11.3,8.3
8.9,8.9,9.3,0,10.3,8.8
8.9,9.1,8.8,0,10.3,10.3
8.9,8.8,8.8,0,9.3,9.3
9,8.1,8.3,0,9.3,7.8
9,8.9,9.8,0,9.8,8.3
9,8.5,9.8,0,9.3,8.8
9,9.2,8.3,0,8.8,10.8
9,9,8.3,0,9.8,7.8
9,8.7,8.8,1,8.8,7.8
9.1,8.2,9.8,0,9.8,11.3
9.1,8.5,8.8,0,9.3,8.3
9.1,9.1,8.8,0,9.3,8.8
9.1,8.9,9.8,0,10.8,8.3
9.1,9.3,8.8,0,8.8,9.8
9.1,8.6,8.8,0,10.8,8.3
9.1,8.2,9.3,0,10.8,8.3
9.2,8.9,9.8,0,9.8,9.3
9.2,9.2,10.3,0,10.8,10.8
9.2,9.6,9.3,1,10.8,8.3
9.2,8.5,7.8,0,8.8,8.3
9.2,8.3,9.3,0,9.3,8.8
9.2,9.1,9.3,0,9.3,8.3
9.3,9.3,8.3,0,9.8,10.3
9.2,9.6,8.3,0,10.3,7.8
9.3,9,7.8,0,8.8,8.3
9.2,8.6,10.3,0,10.3,8.8
9.3,9.4,9.8,1,11.3,10.3
9.3,9.2,8.3,0,8.8,
9.3,8.8,8.3,0,8.8,
9.3,9,8.8,0,9.3,
9.3,8.6,10.3,0,10.3,
9.4,9.6,8.8,0,9.3,
9.4,9.3,9.3,1,10.3,
9.4,8.9,8.3,0,9.8,
9.4,8.7,8.8,0,8.3,
9.4,8.6,8.3,0,10.3,
9.4,9.8,9.3,0,9.3,
9.4,9.1,10.8,1,9.3,
9.4,9.6,10.3,1,9.3,
9.5,9.3,8.3,0,8.8,
9.4,8.9,8.3,0,10.8,
9.5,8.7,8.8,0,10.8,
9.5,8.6,10.8,0,9.3,
9.5,9.8,10.3,1,9.3,
9.5,9.2,10.3,1,8.8,
9.5,9.6,8.8,0,9.3,
9.5,9.3,8.3,0,9.3,
9.5,8.6,8.3,0,9.8,
9.6,8.9,8.8,0,10.3,
9.6,9.9,10.3,0,9.3,
9.6,9.7,7.8,1,9.3,
9.6,9.6,8.8,0,9.8,
9.6,9.4,7.8,0,9.8,
9.6,9.2,8.3,1,10.3,
9.6,8.5,8.3,0,9.8,
9.6,9,7.8,0,9.3,
9.6,8.3,9.8,0,9.3,
9.7,8.8,7.8,0,9.8,
9.7,9.7,8.8,0,10.8,
9.7,9.5,8.8,0,10.3,
9.7,9.3,9.3,0,9.8,
9.7,9,7.8,0,8.8,
9.7,8.3,7.8,0,10.3,
9.7,8.8,9.3,0,9.8,
9.8,9.6,8.3,0,9.8,
9.7,9.4,9.8,0,9.3,
9.8,9,9.3,1,9.8,
9.8,8.9,8.3,0,9.8,
9.8,10.1,9.8,1,8.8,
9.8,10.5,8.8,0,10.8,
9.8,9.3,9.8,1,8.8,
9.9,9.5,8.8,0,9.8,
9.9,8.8,10.3,1,9.8,
9.9,10.1,8.3,0,8.8,
9.9,9.9,9.8,0,8.3,
9.9,9.2,8.8,0,7.3,
9.9,10.5,7.8,0,9.3,
9.9,9.3,9.8,1,9.8,
9.9,8.3,8.3,0,9.8,
9.9,9.6,8.8,0,10.8,
9.9,9.5,9.3,0,9.3,
9.9,8.8,9.3,0,10.8,
9.9,10.1,10.3,1,10.3,
9.9,9.9,9.3,0,9.3,
9.9,9.8,8.3,0,10.3,
10,9.3,10.3,0,,
10,8.3,8.3,0,,
10,9.9,9.8,0,,
10,9.8,8.3,0,,
10.1,9.3,9.3,0,,
10,9.2,8.3,0,,
10.1,10,8.3,0,,
10.1,10,9.3,0,,
10.1,9.5,9.3,1,,
10.1,9.1,9.8,0,,
10.1,10.3,10.3,0,,
10.2,10.1,8.3,0,,
10.2,10.7,10.3,1,,
10.2,9.5,10.3,1,,
10.2,10.3,9.8,0,,
10.2,10.1,8.8,0,,
10.2,9.1,9.3,0,,
10.3,8.7,8.8,0,,
10.3,9.5,9.8,0,,
10.3,10.2,8.3,0,,
10.3,9.1,8.3,0,,
10.3,8.8,8.8,0,,
10.3,10.1,8.3,0,,
10.4,9.8,10.3,1,,
10.3,9.5,10.3,0,,
10.3,10.2,8.8,0,,
10.4,9.9,8.3,0,,
10.4,9.7,8.8,0,,
10.5,9.6,9.3,1,,
10.5,9.8,9.8,0,,
10.5,9.7,8.3,1,,
10.8,11,8.8,0,,
10.8,11,9.8,0,,
10.9,10,8.8,0,,
11,10,9.3,0,,
11,10.1,9.8,0,,
,,9.3,0,,
,,9.3,0,,
,,8.3,0,,
,,9.3,1,,
,,9.3,0,,
,,9.3,0,,
,,8.3,0,,
,,8.3,0,,
,,8.8,0,,
,,8.8,0,,
,,8.8,0,,
,,7.8,0,,
,,10.3,0,,
,,9.8,0,,
,,9.3,0,,
,,9.3,0,,
,,8.8,0,,
,,9.8,0,,
,,8.3,0,,
,,9.3,0,,
,,10.3,0,,
,,9.8,1,,
,,9.8,0,,
,,9.3,0,,
,,9.8,0,,
,,9.3,0,,
,,8.8,0,,
,,9.3,0,,
,,8.8,0,,
,,10.3,0,,
,,10.3,0,,
,,8.3,0,,
,,8.8,0,,
,,9.8,1,,
,,10.3,1,,
,,9.8,0,,
,,10.8,0,,
,,8.3,0,,
,,8.8,1,,
,,8.8,0,,
,,8.3,0,,
,,8.8,0,,
,,8.3,0,,
,,8.3,0,,